40.88926,-73.89864
40.88662,-73.89993
40.88661,-73.89992
40.88655,-73.89995
40.88647,-73.9
40.88637,-73.90005
40.88598,-73.9003
40.88594,-73.90032
40.88591,-73.90033
40.88563,-73.90048
40.88508,-73.90074
40.88505,-73.90063
40.8848,-73.90074
40.88317,-73.90172
40.88309,-73.90178
40.88297,-73.90185
40.88294,-73.90188
40.88283,-73.90195
40.88244,-73.90223
40.88238,-73.90228
40.88067,-73.90349
40.88061,-73.90354
40.87946,-73.90436
40.87939,-73.9044
40.87833,-73.90514
40.87827,-73.90519
40.87769,-73.90561
40.87739,-73.9058
40.87727,-73.9059
40.87724,-73.90589
40.87719,-73.90591
40.87708,-73.906
40.87702,-73.90606
40.87693,-73.90613
40.87682,-73.90626
40.87673,-73.90639
40.87668,-73.90645
40.87662,-73.90654
40.8763,-73.90718
40.87604,-73.90765
40.8759,-73.90785
40.87581,-73.90795
40.87458,-73.90957
40.87452,-73.9095
40.87426,-73.90986
40.87422,-73.90994
40.87415,-73.91019
40.87409,-73.9103
40.87309,-73.91156
40.87303,-73.91162
40.87298,-73.91168
40.87296,-73.91173
40.87294,-73.91175
40.87292,-73.91172
40.87282,-73.91161
40.87272,-73.91153
40.87267,-73.91161
40.87275,-73.91173
40.87278,-73.9118
40.87278,-73.91192
40.87276,-73.91193
40.87273,-73.91197
40.87269,-73.91201
40.87264,-73.91205
40.8726,-73.9121
40.87254,-73.91216
40.87229,-73.91248
40.87225,-73.91254
40.87139,-73.91365
40.87129,-73.91376
40.87117,-73.91388
40.87106,-73.91397
40.87103,-73.914
40.871,-73.91401
40.87081,-73.91421
40.87019,-73.9147
40.86958,-73.91514
40.86952,-73.91519
40.86449,-73.91887
40.86443,-73.91892
40.86394,-73.91927
40.8639,-73.91931
40.86384,-73.91935
40.86383,-73.91937
40.86387,-73.91945
40.86383,-73.91948
40.86371,-73.9196
40.86369,-73.91963
40.86362,-73.9197
40.86342,-73.92002
40.86332,-73.92024
40.86327,-73.92038
40.86323,-73.92047
40.86251,-73.92245
40.86249,-73.92249
40.86242,-73.92245
40.86241,-73.9225
40.86193,-73.92378
40.86185,-73.92406
40.86183,-73.92408
40.8618,-73.92413
40.86178,-73.92419
40.86168,-73.92438
40.86155,-73.92468
40.8615,-73.92476
40.86148,-73.92477
40.86146,-73.92477
40.86133,-73.92482
40.86111,-73.92488
40.86107,-73.9249
40.86104,-73.92492
40.86079,-73.92495
40.8607,-73.92498
40.86068,-73.92498
40.86059,-73.92502
40.8605,-73.92505
40.86041,-73.92509
40.86035,-73.92511
40.86022,-73.92518
40.86011,-73.92526
40.86004,-73.9253
40.85987,-73.92544
40.85982,-73.92549
40.85976,-73.92554
40.85947,-73.92591
40.85944,-73.92596
40.85941,-73.92603
40.85936,-73.92611
40.85916,-73.92649
40.85915,-73.92649
40.85913,-73.92654
40.85907,-73.92662
